track_id,name,album,artist_name,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3avYqdwHKEq8beXbeWCKqJ,Last Friday Night (T.G.I.F.),Teenage Dream,Katy Perry,76,pop,0.652,0.81,3,-3.789,0,0.0406,0.00129,2.91e-05,0.667,0.732,126.022,230733,4
6vc2Jq2vaGu8z326kSrw92,Your Love Is My Drug,Animal (Expanded Edition),Kesha,73,dance pop,0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057,187133,4
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Animal (Expanded Edition),Kesha,85,dance pop,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,199693,4
6KOEK6SeCEZOQkLj5M1PxH,California Gurls,Teenage Dream,Katy Perry,73,pop,0.789,0.753,0,-3.71,1,0.0537,0.0038,0.0,0.18,0.403,125.007,234653,4
1hGy2eLcmC8eKx7qr1tOqx,Beautiful Girls,Beautiful Girls,Sean Kingston,80,dance pop,0.762,0.661,1,-6.075,0,0.0687,0.15,0.0,0.256,0.769,130.009,225373,4
0Vcv54XfyE2oktzHSZMxhr,Throwback,Throwback,Delaney Jane,0,alt z,0.613,0.731,8,-3.993,1,0.0625,0.177,0.0,0.107,0.322,107.071,226542,4
4UprSV8Kcj1kcSZNZrAW4e,La La Land,La La Land,Bryce Vine,0,indie pop rap,0.726,0.512,11,-4.667,1,0.0361,0.289,0.0,0.234,0.52,97.965,157147,4
1UfBAJfmofTffrae5ls6DA,Hotline Bling,Hotline Bling,Drake,0,canadian hip hop,0.893,0.639,2,-7.857,1,0.0549,0.00226,0.000315,0.0382,0.579,134.963,267024,4
63bniwRWWFGoasyhX2eQHJ,Boom Clap,Boom Clap,Charli XCX,40,art pop,0.675,0.812,4,-4.309,1,0.0566,0.0688,0.00062,0.336,0.64,92.013,169293,4
0eGsygTp906u18L0Oimnem,Mr. Brightside,Hot Fuss,The Killers,0,alternative rock,0.351,0.928,1,-3.71,1,0.0759,0.00113,0.0,0.0988,0.239,148.03,222076,4
2TfSHkHiFO4gRztVIkggkE,"Sugar, We're Goin Down",From Under The Cork Tree,Fall Out Boy,78,emo,0.494,0.842,7,-4.784,1,0.0843,0.00579,0.0,0.122,0.574,162.011,229093,4
4E6cwWJWZw2zWf7VFbH7wf,Love Song,Little Voice,Sara Bareilles,74,acoustic pop,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,258827,4
3goSVuTt3fDYDP6kRnFwuL,Take A Bow,Good Girl Gone Bad: Reloaded,Rihanna,75,barbadian pop,0.518,0.467,9,-7.536,1,0.162,0.248,0.0,0.0941,0.559,79.965,229413,4
5zF2zGPkL6Ipsn9AfAK6RP,This Love,Songs About Jane,Maroon 5,0,pop,0.714,0.868,5,-4.596,0,0.0363,0.0551,0.0,0.0987,0.78,95.05,206200,4
